IPAddress,Duration (in seconds),ResponseId,Q1,Q1_3_TEXT,Q2,Q3,Q7,Q10,Q11,Q12,A1,Q16,Q18,A2,Q24,Q22,Q26,Q27,Q28,Q29_1,Q23,A3,Q30,A4,Q33,Q34,A5,Q39,Q40,Q42,Q43,Q44,Q45_1,Q46,A6
IP Address,Duration (in seconds),Response ID,GENDER,OTHER,RACE,AGE,"If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied simultaneously from different directions may work just as well._Ñù",Paraphrase,Statement Rate,Radiation Answer ,Answer C1,"Recall:  ""The General"" story?",Radiation Answer ,Answer C2,Summarize The General,"Rate ""The General""",Summarize The Fire Chief,Rate The Fire Chief,Describe similarities ,similar ,Radiation answer,Answer C3,Radiation answer,Answer C4,Recall General,Radiation Answer ,Answer C5,Summarize General,rate general,Summarize The Fire,Rate The Fire Chief,Describe similarities,Stories similar ,Radiation Solution ,Answer C6
128.12.252.4,300,R_CmHmfitm4I1QWv7,Female,,Latino or Hispanic American,35 - 44,,,,,,,,,bla bla bla bla ,Intermediate,bla bla bla ,Intermediate,bla bla bla ,Neutral,bla bla bla ,1,,,,,,,,,,,,,
128.12.252.4,522,R_1l4DWIJYYQsToDP,Male,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,"Rebel general wants to overthrow dictator at strong fortress. General knows he has the numbers and will win if full scale attack. However, he learns that mines are deployed on every road that will go off if too much weight put on them. He decides to split up his army and attack from different sides at the same time, thus reducing the weight on each road. He succeeds.",Good,Johnson_Ñés shed is on fire. One bucket at a time isn_Ñét enough to extinguish. Fire chief arrives and ordered coordinated attack. He succeeds and gets promoted.,Good,Coordination ,Agree,Coordination ,1
128.12.252.4,45,R_3so8xBt8Yx78gsa,Male,,East Asian or Asian American,Under 18,,,,,,,,,bla ,Poor,bla ,Intermediate,bla ,Moderately Disagree,bla ,0,,,,,,,,,,,,,
128.12.252.4,29,R_2y7tcJIHItagf9b,Female,,"Black, Afro-Caribbean, or African American",75 - 84,,,,,,,,,,,,,,,,,,,Hihi,Blacla,1,,,,,,,,
128.12.252.4,40,R_2TXmOp3JYIR0Vfr,Prefer not to answer,,Middle Eastern or Arab American,35 - 44,,,,,,,,,,,,,,,,,,,,,,bla ,Intermediate,bla ,Intermediate,bla ,Disagree,b;a ,0
128.12.252.4,61,R_1PdcErcC8GlyLxu,Other,Dog,Other,Under 18,,,,,,Everything ,Nothing ,1,,,,,,,,,,,,,,,,,,,,,
128.12.252.4,43,R_6fiGZMWMbgPcM0h,Other,NA,"Middle Eastern or Arab American,South Asian or Indian American,Other",45 - 54,,bla ,Intermediate,bl;a ,1,,,,,,,,,,,,,,,,,,,,,,,,
128.12.252.4,101,R_cB0aiyuLcnGpnDr,Prefer not to answer,,Middle Eastern or Arab American,35 - 44,,,,,,,,,I don_Ñét want to summarize!,Poor,The story is about a cute dog called Winnifred. He has a lot of friends and lives on the moon. ,Good,They both consist of words!,Strongly Agree,Nothing! Brain cancer is pretty lethal!,1,,,,,,,,,,,,,
128.12.252.4,21,R_24750U4v3y4Sdoq,Male,,"Black, Afro-Caribbean, or African American,East Asian or Asian American",85 or older,,,,,,,,,,,,,,,,,bla ,1,,,,,,,,,,,
174.238.141.46,379,R_3h3c1VaJUTGkI5V,Female,,Latino or Hispanic American,25 - 34,,,,,,,,,,,,,,,,,Use radiation that goes in the middle intensity. ,0,,,,,,,,,,,
128.12.252.4,140,R_1C8AnzQrCBzclqN,Other,,Native American or Alaskan Native,35 - 44,,,,,,,,,,,,,,,,,,,,,,bla ,Good,bla ,Good,bla ,Moderately Agree,bla ,1
128.12.252.4,22,R_2e3fs2BquONJpMS,Male,,Non-Hispanic White or Euro-American,55 - 64,,,,,,,,,,,,,,,,,,,bla ,bla ,1,,,,,,,,
128.12.252.4,24,R_2ahLWkqVf2beKpR,Male,,Non-Hispanic White or Euro-American,45 - 54,,,,,,bla nla uiadghksjhflkjshdzf,ajkgsfljkhsdgzkjlFHSDJKLAFGHVKLJSHKVX,o,,,,,,,,,,,,,,,,,,,,,
