Subject ,Condition ,Comprehensibility,Scheme.Quality,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback
111,1,Intermediate,Intermediate,Moderately Agree,"I would gauge the nature of the tumor and see exactly what the situation. Afterwards, I would calibrate the x-ray in order to get rid of the tumor while not hurting any healthy tissue if at all possible.",0,"I would see how much of the tumor needs to be destroyed in order to completely get rid of it. Afterwards, I would devise a plan in order to make smaller pulses or x-rays that eventually get rid of the tumor.",1,Male,,Non-Hispanic White or Euro-American,25 - 34,Thank you for giving me the opportunity to participate in this study.
112,1,Good,Poor,Agree,"A system of representation for analogy must be able to describe a
fundamental property of such relational systems, namely, that analogy may
be defined at multiple levels of abstraction. For example, at a relatively low
level of abstraction the Attack-Dispersion story and the radiation problem
have a variety of corresponding",0," the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed. Unfortunately, at this intensity the healthy tissue that the rays pass through on the way to the tumor will also be destroyed. ",0,Female,,Non-Hispanic White or Euro-American,25 - 34,awesome survey 
113,2,Good,Intermediate,Agree,Lower intensity rays can be positioned to converge on the unhealthy tissue but positioned around it so that no two ray impacts healthy tissue.,1,The low rays can be positioned surrounding the unhealthy tissue so that the ray converges on the affected tissue but does not harm the healthy tissue.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
114,2,Good,Poor,Agree,"Send multiple rays of small amounts so that the outer tissue is not damaged but, because the rays all arrive at once, the tumor will be destroyed.",1,Set small amounts of rays that will not harm the outer tissue to arrive all at once so that the tumor is destroyed.,1,Male,,Non-Hispanic White or Euro-American,55 - 64,"All was good, thanks."
115,1,Intermediate,Poor,Moderately Disagree,destory to turmor,0,some high intensity turmor problem and healthy issues,0,Male,,South Asian or Indian American,25 - 34,good
116,1,Good,Good,Agree,"Perhaps small burst of high intensity rays, allowing the healthy tissue to recover, but gradually destroying the unhealthy tissue.",1,"Small bursts of high intensity rays which would slowly destroy the tumor, but between each burst allowing the healthy tissue to recover.",1,Male,,"Black, Afro-Caribbean, or African American",25 - 34,
117,2,Good,Poor,Moderately Agree,How would I know? And in under 3 minutes? Sigh. A better procedure then the one described above. Chemo?,0,Maybe open up the stomach surgically then ray-gun that tumor.,0,Female,,Non-Hispanic White or Euro-American,35 - 44,Not enough time given to do this without stressing out. :)
118,2,Good,Good ,Strongly Agree,So cut him open and expose the tumor and then put the guts backw hen it's gone?,0,You have to move the pieces around. Move the guts out of the way take care of it then put them back.,0,Female,,Non-Hispanic White or Euro-American,35 - 44,
119,2,Good,Poor,Moderately Agree,Splitting up the rays in a way that the concentration ends at the tumor itself and not at any healthy tissue.,1,The general story; splitting up the radiation so it all meets at one spot.,1,Male,,Non-Hispanic White or Euro-American,25 - 34,
120,2,Intermediate,Poor,Agree,"I guess you could possibly make it a surgery and cut open the tissue before using the rays. This would allow you to not hit the tissue with the rays, and then just stitch it back up after you destroy the tumor.",0,I guess you could break the rays into very small beams so they would not harm the tissue?,1,Male,,"Black, Afro-Caribbean, or African American,Non-Hispanic White or Euro-American",18 - 24,Not at all. This was an interesting study!
121,2,Intermediate,Intermediate,Disagree,Radiation therapy ,0,"I'm not really sure but radiation therapy can help along with some drugs. It is difficult to solve this because my knowledge is limited in this field, plus this hit only has a 12 minute limit. ",0,Male,,Middle Eastern or Arab American,25 - 34,12 limit is too short to give a in depth response. 
122,1,Good,Poor,Agree,"Point lower intensity rays at the tumor from multiple angles, so that they gather as one ray on the tumor. This saves the healthy tissue while destroying the tumor. ",1,"Point multiple low intensity rays at the tumor from different angles, so they group on the tumor and destroy it but don't harm the healthy tissue. ",1,Female,,Non-Hispanic White or Euro-American,25 - 34,
123,1,Good,Intermediate,Agree,Align the rays at low intensity but allow them to intersect at a tumour where their joint power will the applied. ,0,"Using a smaller amount but in a joint, directed effort as in The Fire Chief.",1,Male,,Non-Hispanic White or Euro-American,35 - 44,
124,2,Good,Poor,Strongly Agree,"multiple rays shining on the tumor for intense, but short periods of time.",0,gathering multiple lasers to attack the tumor from all sides at once.,1,Male,,"East Asian or Asian American,Non-Hispanic White or Euro-American,Other",35 - 44,
125,1,Good,Intermediate,Agree,"Using many smaller lasers to target the tumor and build up the power, they could target it at the same time and not harm the surrounding tissue.",1,Smaller rays can be used together to get a high enough intensity to destroy the tumor and not harm the healthy tissue.,1,Male,,Non-Hispanic White or Euro-American,35 - 44,"No issues, short timer!"
126,1,Good,Good,Agree,To do smaller incriminates of treatments at the high dose,1,To use smaller treatments times to achieve the goal ,1,Female,,Non-Hispanic White or Euro-American,25 - 34,
